,Year,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Year,Aug-Jan,Sep-Jan,Oct-Jan,ha_burnt
0,1960-61,56.9,67.8,280.3,71.6,244.9,62.6,75,41,89.4,31.4,54,42,1960-61,784.1,727.2,659.4,0
1,1961-62,239.9,52.5,74.4,517.2,172.2,133.4,158.2,62.8,100.3,270.1,4.1,69.7,1961-62,1189.6,949.7,897.2,0
2,1962-63,109.7,86.5,21.9,10.4,114.1,138.7,50.4,387.8,238.6,211.1,264.8,67.2,1962-63,481.3,371.6,285.1,0
3,1963-64,269.2,24.8,62.4,41.5,279.1,18.2,37,171.7,139.6,78.1,407.5,9.5,1963-64,695.2,426,401.2,0
4,1964-65,25.7,15.1,86.3,74.2,38,36.8,22.7,8.4,85.1,42.6,236.3,97.8,1964-65,276.1,250.4,235.3,366000
5,1965-66,11.3,101.3,177.8,34.2,61.1,23,139.3,150.2,232.8,67.4,138.8,13,1965-66,408.7,397.4,296.1,78000
6,1966-67,88.4,56,58.5,166.2,96.7,163.1,153.7,146.5,41.9,40.4,244.8,29.1,1966-67,628.9,540.5,484.5,0
7,1967-68,179.8,98.1,74,126.8,44,134,19.3,103.3,14.1,115.1,26,61,1967-68,656.7,476.9,378.8,0
8,1968-69,31.6,5.1,6.7,17.7,90.9,35.7,255.5,92.3,193.9,46.1,206.2,49.2,1968-69,187.7,156.1,151,423000
9,1969-70,161.3,56.9,47.3,266.5,36.5,142.8,49,185.2,54,10.4,43.6,1.8,1969-70,711.3,550,493.1,83000
10,1970-71,33.3,165.2,20.7,125.9,271.6,119.9,171.2,89.1,96.6,102.9,74.2,19.1,1970-71,736.6,703.3,538.1,0
11,1971-72,172.3,53.9,1.9,75.8,132,385,100.1,183.5,72.3,91.7,117.4,4.1,1971-72,820.9,648.6,594.7,0
12,1972-73,33.7,13.7,174.6,65.7,40.5,268.1,357.9,93.9,79.1,33.6,69.7,107.4,1972-73,596.3,562.6,548.9,150000
13,1973-74,88.1,72.4,174.2,117.3,30.8,183.6,121.6,270.2,160.6,230.2,207.8,14.2,1973-74,666.4,578.3,505.9,0
14,1974-75,174.4,42.8,70.6,99,27.4,38.8,137,380.3,75.6,16,355.6,46.2,1974-75,453,278.6,235.8,347000
15,1975-76,22.4,48.2,108.8,28,36,296.2,232.8,297.2,51.6,26,146.6,154.2,1975-76,539.6,517.2,469,0
16,1976-77,41.6,125.2,259.8,123.6,27.8,110.8,161,251.4,23.8,127.6,102.8,8.8,1976-77,688.8,647.2,522,139000
17,1977-78,21.6,47,8.8,34.8,24.8,219.8,10.2,254.6,132,122.6,314.2,17.6,1977-78,356.8,335.2,288.2,667000
18,1978-79,35.2,111.8,89.8,95.4,95.4,114.6,17.6,191.6,25.6,114.6,170.8,27,1978-79,542.2,507,395.2,77000
19,1979-80,7.6,25,46.8,66.6,2.8,173.2,75.2,65.8,11.6,124.8,47.8,44,1979-80,322,314.4,289.4,240000
20,1980-81,14.4,5.4,32.4,60.4,81.2,58.6,206.8,42.8,118.6,91,60.4,38,1980-81,252.4,238,232.6,239000
21,1981-82,7,6.3,207.2,125.2,76.4,52,26.2,182.8,16.6,13.6,107.3,153.2,1981-82,474.1,467.1,460.8,22000
22,1982-83,25.2,169.8,51,19,21.6,44.6,62,301.8,153.5,215.6,76.6,39.8,1982-83,331.2,306,136.2,441000
23,1983-84,116.2,49.4,155.2,28.8,102.4,191,118,293.2,106.6,126.4,86.8,150.2,1983-84,643,526.8,477.4,0
24,1984-85,11,45.2,60.6,512.8,98.8,5.6,57.8,81.4,313.4,123.8,124.8,81.8,1984-85,734,723,677.8,1700000
25,1985-86,28.2,72.2,166.6,59.8,101.6,202.8,91,15,117.4,50.2,11.8,27.4,1985-86,631.2,603,530.8,10000
26,1986-87,470.6,30.2,56.6,143.8,8.5,67.4,27,158.4,47,54.8,82.2,110.6,1986-87,777.1,306.5,276.3,191000
27,1987-88,199.6,8.4,285,188,84.4,273.2,102,84.6,506.6,166.8,81.2,120,1987-88,1038.6,839,830.6,62000
28,1988-89,68.8,141.8,0.6,174.6,141.6,137.4,115.6,158,368.4,143,291,18.6,1988-89,664.8,596,454.2,24000
29,1989-90,66.4,2.8,13.2,50.8,161.2,84,630.6,161.6,320.4,131.2,45.2,67,1989-90,378.4,312,309.2,35000
30,1990-91,204.8,205.4,46.8,36.2,43.6,120,63.4,28.6,53,141.2,340.6,108.4,1990-91,656.8,452,246.6,213000
31,1991-92,6,18.4,11,40.6,190.2,66.2,408.6,76.4,60.8,68.2,108,14.8,1991-92,332.4,326.4,308,81000
32,1992-93,48,21,70.8,138,201.6,61,100.2,97.4,66.2,18.6,55.8,104.4,1992-93,540.4,492.4,471.4,0
33,1993-94,62,159.4,59,93.4,35.6,52.2,99.2,197.4,140.2,33.2,75,76.2,1993-94,461.6,399.6,240.2,450000
34,1994-95,23.2,24.2,50,56.6,80.8,95.4,51,187.4,28.8,184,122.6,5.4,1994-95,330.2,307,282.8,115000
35,1995-96,0,226.2,46.8,180.4,101.8,150,54.8,66.2,43.4,177.8,166.4,54.8,1995-96,705.2,705.2,479,0
36,1996-97,146.2,121.8,23.6,103.6,40,185.6,137,23.2,5.2,193.8,99.8,180.2,1996-97,620.8,474.6,352.8,0
37,1997-98,27.2,118.4,49,29.4,29.4,99,31,27,328.4,263.8,130.8,86.8,1997-98,352.4,325.2,206.8,311000
38,1998-99,482.6,37.6,37,69.8,54.8,178,143,28,244.8,57.4,93.8,181.6,1998-99,859.8,377.2,339.6,36000
39,1999-00,134.8,30,205.2,91.4,82.4,55.8,18.6,248.4,64,55.8,37,25.4,1999-00,599.6,464.8,434.8,0
40,2000-01,20.6,29.4,79.4,140.8,46.4,186.4,109,110.2,162.2,371.4,22,128,2000-01,503,482.4,453,211000
41,2001-02,72.8,27.6,30.6,98.4,40.2,98.4,348.2,45.4,68.4,92.8,28.4,24.2,2001-02,368,295.2,267.6,830000
42,2002-03,19.8,21.8,5.8,31.8,75,13.6,59.4,132,192.2,348.6,76.4,58.2,2002-03,167.8,148,126.2,2500000
43,2003-04,43,5.8,102.8,108.8,59.6,50.8,129.4,100.8,33.2,8,39,43.8,2003-04,370.8,327.8,322,17000
44,2004-05,153.4,60.2,234,66.8,75.8,67.8,125,153.6,33.4,48.4,79,62.8,2004-05,658,504.6,444.4,0
45,2005-06,1.6,51.2,43,125,25.2,121.4,51.2,40.2,9.8,40.4,176.8,140.2,2005-06,367.4,365.8,314.6,24000
46,2006-07,86,192,17.2,44.6,74.2,45.4,107.6,65.4,179.6,9.8,510.6,67.2,2006-07,459.4,373.4,181.4,305000
47,2007-08,152.2,41.2,27,170,123.2,57,258.4,63.4,146.6,3,127.2,89.6,2007-08,570.6,418.4,377.2,40000
48,2008-09,44.2,99.2,66.6,73.2,54.2,24.8,127.6,60.6,152.6,125.8,129.8,53,2008-09,362.2,318,218.8,0
49,2009-10,6,16,180,13.2,66.8,36,239.4,51.4,29.8,168.4,147.2,114.6,2009-10,318,312,296,93000
50,2010-11,27,42.2,85,129.6,83.2,53.8,18,191.6,206.2,135.6,93.8,282.2,2010-11,420.8,393.8,351.6,0
51,2011-12,52.2,71.6,37.4,148.4,78.4,138.8,111,269.8,187,37.2,244.2,56.2,2011-12,526.8,474.6,403,0
