,Unnamed: 0,Year,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Year.1,Aug-Jan,Sep-Jan,Oct-Jan,ha_burnt,last_three_fire,last_fire,last_five_fire
0,0,1960-61,56.9,67.8,280.3,71.6,244.9,62.6,75.0,41.0,89.4,31.4,54.0,42.0,1960-61,784.1,727.2,659.4,0,0,0,0
1,1,1961-62,239.9,52.5,74.4,517.2,172.2,133.4,158.2,62.8,100.3,270.1,4.1,69.7,1961-62,1189.6,949.7,897.2,0,0,0,0
2,2,1962-63,109.7,86.5,21.9,10.4,114.1,138.7,50.4,387.8,238.6,211.1,264.8,67.2,1962-63,481.3,371.6,285.1,0,0,0,0
3,3,1963-64,269.2,24.8,62.4,41.5,279.1,18.2,37.0,171.7,139.6,78.1,407.5,9.5,1963-64,695.2,426.0,401.2,0,0,0,0
4,4,1964-65,25.7,15.1,86.3,74.2,38.0,36.8,22.7,8.4,85.1,42.6,236.3,97.8,1964-65,276.1,250.4,235.3,366000,0,0,0
5,5,1965-66,11.3,101.3,177.8,34.2,61.1,23.0,139.3,150.2,232.8,67.4,138.8,13.0,1965-66,408.7,397.4,296.1,78000,366000,366000,366000
6,6,1966-67,88.4,56.0,58.5,166.2,96.7,163.1,153.7,146.5,41.9,40.4,244.8,29.1,1966-67,628.9,540.5,484.5,0,444000,78000,444000
7,7,1967-68,179.8,98.1,74.0,126.8,44.0,134.0,19.3,103.3,14.1,115.1,26.0,61.0,1967-68,656.7,476.9,378.8,0,444000,0,444000
8,8,1968-69,31.6,5.1,6.7,17.7,90.9,35.7,255.5,92.3,193.9,46.1,206.2,49.2,1968-69,187.7,156.1,151.0,423000,78000,0,444000
9,9,1969-70,161.3,56.9,47.3,266.5,36.5,142.8,49.0,185.2,54.0,10.4,43.6,1.8,1969-70,711.3,550.0,493.1,83000,423000,423000,867000
10,10,1970-71,33.3,165.2,20.7,125.9,271.6,119.9,171.2,89.1,96.6,102.9,74.2,19.1,1970-71,736.6,703.3,538.1,0,506000,83000,584000
11,11,1971-72,172.3,53.9,1.9,75.8,132.0,385.0,100.1,183.5,72.3,91.7,117.4,4.1,1971-72,820.9,648.6,594.7,0,506000,0,506000
